,序号,区县,名   称,方向,相交道路,Unnamed: 5
72,73,朝阳,京朝名族和谐阙东南侧,全方向,北辰路,
73,74,朝阳,京朝规划二路西口,全方向,北辰西路,
74,75,朝阳,京朝东方东路韩国大使馆西门南50米,全方向,东方东路,
75,76,朝阳,京朝东方东路韩国大使馆西门北侧,全方向,东方东路,
76,77,朝阳,京朝东方东路与安家楼路交叉口东北角,全方向,东方东路,
77,78,朝阳,京朝东方东路美国大使馆西门北侧,全方向,东方东路,
78,79,朝阳,京朝东方东路6号西侧,全方向,东方东路,
79,80,朝阳,京朝东方东路与霄云路交叉口东侧南50米,全方向,东方东路,
80,81,朝阳,京朝雅秀西南角,全方向,雅秀西路,工人体育场北路
81,82,朝阳,京朝三里屯酒吧街南,全方向,三里屯路,工人体育场北路
82,83,朝阳,京朝三里屯太古里广场,全方向,三里屯路,工人体育场北路
83,84,朝阳,京朝工人体育场北路与三里屯路交叉口东北角,全方向,三里屯路,工人体育场北路
84,85,朝阳,京朝工人体育场北路与三里屯路交叉口西南角,全方向,三里屯路,工人体育场北路
85,86,朝阳,京朝工人体育场北路与三里屯路交叉口北50米,全方向,三里屯路,工人体育场北路
86,87,海淀,京藏高速马甸桥北,南向北,京藏高速马甸桥北,
87,88,海淀,京藏高速辅路健德桥北,南向北,京藏高速辅路,
88,89,丰台,高立庄南路东口,西向东,樊羊路,高立庄南路
89,90,丰台,高立庄南路东口,南向北,樊羊路,高立庄南路
90,91,丰台,高立庄南路东口,北向南,樊羊路,高立庄南路
91,92,丰台,高立庄南路口,东向西,鑫迎路,高立庄南路
92,93,丰台,高立庄南路口,西向东,鑫迎路,高立庄南路
93,94,丰台,羊坊村北口,东向西,丰园路,高立庄南路
94,95,丰台,羊坊村北口,南向北,丰园路,高立庄南路
95,96,丰台,羊坊村北口,北向南,丰园路,高立庄南路
96,97,昌平,北清路王府医院东,东向西,北清路,北清路
97,98,昌平,北清路王府医院西,西向东,北清路,北清路
98,99,平谷,平东路2.2公里处,南向北,平东路,
99,100,平谷,平东路2.2公里处,北向南,平东路,
100,101,通州,103国道觅子店综合检查站,出京,103国道,
101,102,通州,牛牧屯检查站,出京,通香路,
102,103,密云,G101国道K63路段1号龙门,南向北,G101国道,
103,104,密云,G101国道K63路段1号龙门,北向南,G101国道,
104,105,密云,G101国道K71路段1号龙门-1号,东向西,G101国道,
105,106,密云,G101国道K71路段1号龙门-2号,东向西,G101国道,
106,107,密云,G101国道K71路段1号龙门,西向东,G101国道,
107,108,密云,G101国道与密西路交叉口,南向北,G101国道,
108,109,密云,密关路东智北站牌K7路段2号杆,北向南,密关路,
109,110,密云,密关路西智村站牌K6路段1号杆,南向北,密关路,
110,111,密云,渔街口门子村K2路段5号杆,东向西,密关路,
111,112,密云,渔街口门子村K2路段6号杆,西向东,密关路,
112,113,密云,G101国道K77路段1号杆,进京,G101国道,
113,114,密云,G101国道K77路段1号杆,出京,G101国道,
114,115,密云,G101国道南台路段1号杆,双向,G101国道,
115,116,密云,G101国道南台路段1号杆,双向,G101国道,
116,117,密云,G101国道清水潭路段1号杆,北向南,G101国道,
117,118,密云,G101国道清水潭路段1号杆,南向北,G101国道,
118,119,密云,左堤路达岩村1号杆,南向北,左堤路,
119,120,密云,左堤路达岩村1号杆,北向南,左堤路,
120,121,密云,左堤路达岩村2号杆,南向北,左堤路,
121,122,密云,左堤路达岩村2号杆,北向南,左堤路,
122,123,密云,琉辛路高岭路段1号杆,东向西,琉辛路,
123,124,密云,琉辛路高岭路段1号杆,西向东,琉辛路,
124,125,密云,琉辛路不老屯路段1号杆,东向西,琉辛路,
125,126,密云,琉辛路不老屯路段1号杆,西向东,琉辛路,
126,127,密云,密三路石峨路段1号龙门,南向北,密三路,
127,128,密云,密三路石峨路段1号龙门,北向南,密三路,
128,129,密云,密兴路大城子路段1号杆,南向北,密三路,
129,130,密云,密兴路大城子路段2号杆,北向南,密三路,
130,131,密云,G101国道K114路段1号杆,进京,G101国道,
131,132,密云,G101国道与松曹路交叉口 南向北,南向北,G101国道,松曹路
132,133,密云,G101国道与松曹路交叉口 北向南,北向南,G101国道,松曹路
133,134,密云,G101国道与松曹路交叉口 东向西,东向西,G101国道,松曹路
134,135,密云,G101国道与松曹路交叉口 西向东,西向东,G101国道,松曹路
135,136,密云,鼓楼东大街与新中路交叉口,西向东,鼓楼东大街,新中街
136,137,密云,绕城线与橝营北街交叉路口,东向西,水源路,新东路
137,138,密云,白云街与新西路交叉口,东向西,白云街,新西路
138,139,密云,顺密路与兴盛南路交叉口,北向南,开发区路,顺密路
139,140,密云,顺密路与兴盛南路交叉口,南向北,开发区路,顺密路
140,141,密云,绕城线与橝营北街交叉路口,西向东,水源路,新东路
141,142,密云,水源路与园林路交叉路口,东向西,水源路,檀西路
142,143,密云,水源路与园林路交叉口,西向东,水源路,园林路
143,144,密云,G101国道与西统路交叉口,西向东,京沈线,西统路
144,145,密云,新北路与檀西路交叉口,东向西,新北路,檀西路
145,146,密云,顺密路与单平路交叉口,北向南,单平路,顺密路
146,147,密云,顺密路与单平路交叉口,南向北,单平路,顺密路
147,148,密云,密关路与密关路支线交叉口,南向北,密关路,密关路支线
148,149,密云,滨河路与水源路交叉口,南向北,水源路,滨河路
149,150,密云,密关路与鼓楼西大街交叉口,北向南,鼓楼西大街,滨河路
150,151,密云,西门外大街西向东方向,西向东,西门外大街,
151,152,密云,康复路二中1号杆,东向西,康复路,
152,153,密云,育才路三中1号杆,北向南,育才路,
153,154,密云,密关路K1路段3号杆,北向南,密关路,
154,155,密云,滨河路与水源路交叉口-1号,东向西,水源路,滨河路
155,156,密云,滨河路与水源路交叉口-2号,西向东,水源路,滨河路
156,157,密云,G101国道K57路段1号龙门-1号,西向东,G101国道,
157,158,密云,G101国道K57路段1号龙门-2号,西向东,G101国道,
158,159,密云,G101国道K58路段2号龙门,东向西,G101国道,
159,160,密云,X043（新南路）K8路段8号杆,东向西,新南路,
160,161,密云,G101国道K107路段1号杆,南向北,G101国道,
161,162,密云,G101国道K117路段1号杆,西向东,G101国道,
162,163,密云,鼓楼东大街东向西方向3号杆,东向西,鼓楼东大街,
163,164,密云,园林路南向北方向6号杆,南向北,园林路,
164,165,密云,新北路与新东路交叉口南向北方向1号杆,南向北,新北路,新东路
165,166,密云,橝阳路（阳光街至新南路）1号杆,南向北,橝阳路,
166,167,密云,橝阳路（阳光街至新南路）2号杆,北向南,橝阳路,
167,168,密云,顺密路河南寨中学北向南1号杆,北向南,顺密路,
168,169,密云,顺密路河南寨中学南向北1号杆,南向北,顺密路,
169,170,密云,970钓鱼台公交站东向西1号杆,北向南,顺密路,
170,171,密云,顺密路钓鱼台市集东向西1号杆,北向南,顺密路,
171,172,密云,新西路与新北路路口东南角,西向东,新北路,新西路
172,173,密云,水源路与花园路交叉口东向西方向2号杆,东向西,花园路,水源路
173,174,密云,南河路南向北方向1号杆,南向北,南河路,
174,175,密云,南河路南向北方向2号杆,南向北,南河路,
175,176,密云,南河路南向北方向3号杆,南向北,南河路,
176,177,密云,南河路南向北方向4号杆,南向北,南河路,
177,178,密云,檀城街西向东方向1号杆,西向东,檀城街,
178,179,密云,檀城街东向西方向1号杆,东向西,檀城街,
179,180,密云,通城胡同与檀城街交叉口北向南方向3号杆,北向南,檀城街,通城胡同
180,181,密云,通城胡同与檀城街交叉口北向南方向3号杆,北向南,檀城街,通城胡同
181,182,密云,通城胡同与檀城街交叉口北向南方向2号杆,北向南,檀城街,通城胡同
182,183,密云,通城胡同与檀城街交叉口北向南方向2号杆,北向南,檀城街,通城胡同
183,184,密云,通城胡同与新南路交叉口北向南方向1号杆,北向南,通城胡同,新南路
184,185,密云,密关路全民健身公园北向南方向1号杆,北向南,密关路,
185,186,密云,西统路中国人寿南向北方向1号杆,南向北,西统路,
186,187,密云,新北路刑警队西向东方向1号杆,西向东,新北路,
187,188,密云,新北路与车站路交叉口西向东方向1号杆,西向东,新北路,
188,189,密云,新北路与车站路交叉口东向西方向2号杆,西向东,新北路,
189,190,密云,檀营街北向南方向1号杆,北向南,檀营街,
190,191,密云,檀营街南向北方向1号杆,南向北,檀营街,
191,192,密云,檀东路西向东方向1号杆,西向东,檀东路,
192,193,密云,檀东路东向西方向1号杆,东西向,檀东路,
193,194,密云,檀东路东向西方向1号杆,东西向,檀东路,
194,195,密云,密关路与水源路交叉路口西北角,东向西,水源路,密关路
195,196,密云,密关路与水源路交叉路口东南角,西向东,水源路,密关路
196,197,密云,密关路与水源路交叉路口东侧,西南向东北,水源路,密关路
197,198,密云,橝阳路（阳光街至水源路）1号杆,北向南,橝阳路,
198,199,密云,橝阳路（阳光街至水源路）2号杆,南向北,橝阳路,
199,200,密云,新南路派出所西向东1号杆,西向东,新南路,
200,201,密云,新南路妇幼保健院西向东1号杆,西向东,新南路,
201,202,密云,新南路建设银行1号杆,东向西,新南路,
202,203,密云,滨河路与水源路万象汇南向北1号杆,南向北,水源路,滨河路
203,204,密云,檀营街北向南方向1号杆,北向南,檀营街,
204,205,密云,阳光街与檀东路交叉路口2号杆,东向西,阳光街,檀东路
205,206,密云,檀营街区医院东门1号杆-1,南向北,檀营街,
206,207,密云,檀营街区医院东门1号杆-2,南向北,檀营街,
207,208,密云,檀东路与阳光街交叉路口6号杆,北向南,阳光街,檀东路
208,209,密云,西统路中国人寿南向北方向1号杆,南向北,西统路,
209,210,密云,西统路中国人寿保险北向南2号杆,北向南,西统路,
210,211,密云,西统路中国人寿南向北方向3号杆,南向北,西统路,
211,212,密云,西统路中国人寿保险北向南1号杆,北向南,西统路,
212,213,密云,西统路中国人寿南向北方向4号杆,南向北,西统路,
213,214,密云,X313省道云佛滑雪场西向东方向1号杆,西向东,X313省道,
214,215,密云,X313省道云佛滑雪场东向西方向1号杆,东向西,X313省道,
215,216,密云,密关路西门外大街桥下南向北1号杆,南向北,密关路,
216,217,密云,东鱼市胡同与通城胡同交叉口西向东方向1号杆,西向东,东鱼市胡同,通城胡同
217,218,密云,东鱼市胡同与通城胡同交叉口西向东方向2号杆,西向东,东鱼市胡同,通城胡同
218,219,密云,东鱼市胡同与通城胡同交叉口南向北方向1号杆,南向北,东鱼市胡同,通城胡同
219,220,密云,东鱼市胡同与通城胡同交叉口南向北方向2号杆,南向北,东鱼市胡同,通城胡同
220,221,密云,新中街物美超市南向北1号杆,南向北,新中街,
221,222,密云,新南路妇幼保健医院外1号杆,西向东,新南路,
222,223,密云,新东路沙河早市北向南方向1号杆,北向南,新东路,
