,序号,区县,名   称,方向,相交道路,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
65,66,海淀,上地南路与上地东路丁字路口,全方向,上地东路,上地南路,,,,,,,
66,67,海淀,上地东路与安宁庄路丁字路联想东门,全方向,上地东路,安宁庄路,,,,,,,
67,68,海淀,上地七街北京银行楼顶,全方向,信息路,上地七街,,,,,,,
68,69,海淀,上地八街与开拓路交叉口,全方向,开拓路,上地八街,,,,,,,
69,70,海淀,上地七街与创业路交叉口,全方向,创业路,上地七街,,,,,,,
70,71,海淀,上地七街与开拓路交叉口西北角,全方向,开拓路,上地七街,,,,,,,
71,72,海淀,信息路上地东里西门,全方向,信息路,上地一街,,,,,,,
72,73,海淀,信息路西侧超市发南侧,全方向,信息路,,,,,,,,
73,74,海淀,后厂村路华控北门东侧,全方向,后厂村路,,,,,,,,
74,75,海淀,后厂村路华控北门东南角,全方向,后厂村路,,,,,,,,
75,76,海淀,东北旺中路北口,全方向,东北旺中路,东北旺路,,,,,,,
76,77,海淀,树村清真寺西侧,全方向,树村路,,,,,,,,
77,78,海淀,信息路小清河路东,全方向,信息路,滨河路,,,,,,,
78,79,海淀,信息路尚清园宾馆东南角,全方向,信息路,杨柳路,,,,,,,
79,80,海淀,东二路东侧佳园东南角,全方向,上地东二路,,,,,,,,
80,81,海淀,树村路南口,全方向,树村路,小清河路,,,,,,,
81,82,海淀,东北旺路东馨园小区北侧,全方向,东北旺路,,,,,,,,
82,83,海淀,唐家岭路与东北旺路交叉口,全方向,唐家岭路,东北旺路,,,,,,,
83,84,海淀,创业北路数码广场门口,全方向,创业北路,,,,,,,,
84,85,海淀,农大南路与正白旗村路口,全方向,农大南路,,,,,,,,
85,86,海淀,树村路清真寺南侧村口,全方向,树村路,,,,,,,,
86,87,海淀,信息路农大南路东口北侧,全方向,信息路,,,,,,,,
87,88,海淀,上地南路枫润家园门口,全方向,上地南路,,,,,,,,
88,89,海淀,农大南路南侧白旗村路口,全方向,农大南路,,,,,,,,
89,90,海淀,树村路甲一号门前,全方向,树村路,,,,,,,,
90,91,海淀,上地西路与上地八街交叉口,全方向,上地西路,上地八街,,,,,,,
91,92,海淀,上地西路与上地九街交叉口,全方向,上地西路,上地九街,,,,,,,
92,93,海淀,信息路体大西门,全方向,信息路,,,,,,,,
93,94,海淀,体育大学西南门西侧,全方向,杨柳路,,,,,,,,
94,95,海淀,体育大学西南门,全方向,杨柳路,,,,,,,,
95,96,海淀,上地十街与上地西路交叉口东南角,全方向,上地西路,上地十街,,,,,,,
96,97,海淀,上地九街西二旗城铁南天桥下,全方向,上地九街,,,,,,,,
97,98,海淀,树村路南口北侧路西,全方向,树村路,,,,,,,,
98,99,海淀,树村路南口北侧路东,全方向,树村路,小清河路,,,,,,,
99,100,海淀,上地东路与上地东二路交叉口,全方向,上地东路,上地东二路,,,,,,,
100,101,海淀,上地西路与上地七街交叉口东南角,全方向,上地西路,上地七街,,,,,,,
101,102,海淀,上地七街与开拓路口西南角,全方向,开拓路,上地七街,,,,,,,
102,103,海淀,上地七街环岛工商银行楼顶,全方向,信息路,上地七街,,,,,,,
103,104,海淀,上地桥西路口东南角,全方向,上地东路,上地三街,,,,,,,
104,105,海淀,上地三街与创业路交叉口东南角,全方向,创业路,上地三街,,,,,,,
105,106,海淀,信息路与上地二街交叉口东侧,全方向,信息路,上地二街,,,,,,,
106,107,海淀,上地四街与开拓路交叉口,全方向,开拓路,上地四街,,,,,,,
107,108,海淀,上地五街与西路交叉口,全方向,上地西路,上地五街,,,,,,,
108,109,海淀,上地八街与信息路交叉口,全方向,信息路,上地八街,,,,,,,
109,110,海淀,上地八街与东路交叉口,全方向,上地东路,上地八街,,,,,,,
110,111,海淀,信息路与上地六街西北角,全方向,信息路,上地六街,,,,,,,
111,112,海淀,上地五街与创业路交叉口,全方向,创业路,上地五街,,,,,,,
112,113,海淀,信息路科贸大厦西北角,全方向,信息路,,,,,,,,
113,114,海淀,上地西路华联北出口,全方向,上地西路,,,,,,,,
114,115,海淀,上地四街与上地东路交叉口,全方向,上地东路,上地四街,,,,,,,
115,116,海淀,上地七街与上地东路交叉口,全方向,上地东路,上地七街,,,,,,,
116,117,海淀,东北旺路软件园南5号门路东,全方向,东北旺北路,,,,,,,,
117,118,海淀,信息路与农大南路交叉口东侧,全方向,信息路,农大南路,,,,,,,
118,119,海淀,上地四街与信息路交叉口西南角,全方向,信息路,上地四街,,,,,,,
119,120,海淀,上地五街与开拓路西北角,全方向,开拓路,上地五街,,,,,,,
120,121,海淀,上地西路软件园东1号门,全方向,上地西路,,,,,,,,
121,122,海淀,上地东二路与朱房路交叉口东南角,全方向,上地东二路,朱房路,,,,,,,
122,123,海淀,信息路与上地西路西南角,全方向,信息路,上地西路,,,,,,,
123,124,海淀,信息路与上地五街交叉口,全方向,信息路,上地五街,,,,,,,
124,125,海淀,上地西路与上地六街交叉口,全方向,上地西路,上地六街,,,,,,,
125,126,海淀,上地东二路上地城铁西南,全方向,上地东二路,,,,,,,,
126,127,海淀,上地二街上地实验中学门口,全方向,上地西路,上地二街,,,,,,,
127,128,海淀,后厂村路东侧桥下,全方向,后厂村路,,,,,,,,
128,129,海淀,西二旗桥下北侧,全方向,上地九街,,,,,,,,
129,130,海淀,西二旗城铁A口,全方向,上地东路,上地十街,,,,,,,
130,131,海淀,辉煌国际南广场东侧,全方向,创业北路,上地十街,,,,,,,
131,132,海淀,辉煌国际南广场西侧,全方向,开拓北路,上地十街,,,,,,,
132,133,海淀,软件园南林带,全方向,东北旺路,,,,,,,,
133,134,海淀,上地西路与六街西南角,全方向,上地西路,上地六街,,,,,,,
134,135,海淀,上地东路六街口,全方向,上地东路,上地六街,,,,,,,
135,136,海淀,蓝海中西南门,全方向,东北旺南路,,,,,,,,
136,137,海淀,上地办公中心西南门,全方向,东北旺南路,,,,,,,,
137,138,海淀,教师进修学校分校,全方向,远大路西口,,,,,,,,
138,139,海淀,前沿教育培训学校,全方向,蓝靛厂西路南口,远大路西口到中口,,,,,,,
139,140,海淀,世纪新汇佳幼儿园,全方向,蓝靛厂西路,,,,,,,,
140,141,海淀,晨月园西门,全方向,蓝靛厂西路,,,,,,,,
141,142,海淀,晨月园北门,全方向,西顶路,,,,,,,,
142,143,海淀,金夕园东南角,全方向,蓝靛厂西路,,,,,,,,
143,144,海淀,金夕园南门东侧,全方向,蓝靛厂西路,,,,,,,,
144,145,海淀,商务管理学校,全方向,远大路西口,,,,,,,,
145,146,海淀,姜杰钢琴城,全方向,远大路中口到东口,,,,,,,,
146,147,海淀,火器营路北口,全方向,蓝靛厂路,,,,,,,,
147,148,海淀,邮局东侧,全方向,蓝靛厂西路,老营房路,,,,,,,
148,149,海淀,今日良缘,全方向,蓝靛厂东路,老营房路,,,,,,,
149,150,海淀,首师大二附属中分校,全方向,彰化路,,,,,,,,
150,151,海淀,金源时代过街桥东,全方向,远大路中口到东口,,,,,,,,
151,152,海淀,第二办公区门口,全方向,西四环辅路,,,,,,,,
152,153,海淀,西四环辅路红博馆,全方向,西四环辅路,,,,,,,,
153,154,海淀,长青路东西四环西北,全方向,西四环辅路,,,,,,,,
154,155,海淀,通汇路口东口,全方向,通汇路,,,,,,,,
155,156,海淀,通汇路乐融儿童之家对面,全方向,通汇路,,,,,,,,
156,157,海淀,北洼路北口,全方向,北洼路,紫竹院路,,,,,,,
157,158,丰台,丰华苑东街近园路路口北,北向南,丰华苑东街,近园路,,,,,,,
158,159,丰台,石榴庄路与宋庄路交叉口西侧,全方向,石榴庄路,宋庄路,,,,,,,
159,160,丰台,莲花桥东西向东,西向东,莲花池东路,,,,,,,,
160,161,丰台,樊羊路与首经贸南路交叉口东北角,全方向,首经贸南路,,,,,,,,
161,162,丰台,樊羊路与康辛路交叉口东南角,全方向,康辛路,樊羊路,,,,,,,
162,163,丰台,樊羊路与康平街交叉口东南角,全方向,东康平街,樊羊路,,,,,,,
163,164,丰台,康久路法官学校路口北侧,全方向,西法官学校,康久路,,,,,,,
164,165,丰台,康久路与南四环交叉口东北角,全方向,南四环,北康久路,,,,,,,
165,166,丰台,樊羊路与康辛路交叉口,南向北,康辛路,樊羊路,,,,,,,
166,167,丰台,樊羊路与康辛路交叉口,东向西,康辛路,樊羊路,,,,,,,
167,168,丰台,樊羊路与康辛路交叉口,北向南,康辛路,樊羊路,,,,,,,
168,169,丰台,樊羊路与康平街交叉口,北向南,东康平街,樊羊路,,,,,,,
169,170,丰台,樊羊路与康平街交叉口,东向西,东康平街,樊羊路,,,,,,,
170,171,丰台,樊羊路与四环辅路交叉口,北向南,花乡桥,樊羊路,,,,,,,
171,172,丰台,樊羊路与四环辅路交叉口,东向西,花乡桥,樊羊路,,,,,,,
172,173,丰台,芳菲路与康辛路交叉口,西向东,花乡桥,樊羊路,,,,,,,
173,174,丰台,芳菲路与康辛路交叉口,东向西,康辛路,芳菲路,,,,,,,
174,175,丰台,天坛医院门诊楼入口北侧,北向南,樊羊路,,,,,,,,
175,176,丰台,花乡桥北天坛医院门诊楼入口北侧,全方向,樊羊路,,,,,,,,
176,177,丰台,樊羊路花乡桥南西侧,全方向,樊羊路,,,,,,,,
177,178,丰台,樊羊路樊家村派出所南侧,全方向,樊羊路,,,,,,,,
178,179,丰台,樊羊路樊家村派出所北侧,全方向,樊羊路,,,,,,,,
179,180,丰台,康平街与康久路交叉口西侧路北,全方向,康平街,,,,,,,,
180,181,丰台,康平街西口东侧,全方向,康平街,,,,,,,,
181,182,丰台,康平街与康久路交叉口南侧路西,全方向,康久路,,,,,,,,
182,183,丰台,国家法官学院西门北侧,全方向,康久路,,,,,,,,
183,184,丰台,国家法官学院西门南侧,全方向,康久路,,,,,,,,
184,185,丰台,南四环辅路花乡桥东侧,全方向,南四环辅路（外环）,,,,,,,,
185,186,丰台,丰台南路与南四环外环辅路交叉口南侧路东,全方向,丰台南路,,,,,,,,
186,187,丰台,丰台南路与南四环外环辅路交叉口,全方向,南四环辅路（外环）,,,,,,,,
187,188,丰台,南四环辅路国家法官学院南门西侧,全方向,南四环辅路（内环）,,,,,,,,
188,189,丰台,南四环辅路天坛医院南门,全方向,南四环辅路（内环）,,,,,,,,
189,190,丰台,康辛路与樊羊路交叉口东南角,全方向,康辛路,樊羊路,,,,,,,
190,191,丰台,康辛路与丰台南路交叉口东南角,全方向,康辛路,丰台南路,,,,,,,
191,192,丰台,南四环辅路天坛医院南门东侧,全方向,南四环辅路（内环）,,,,,,,,
192,193,丰台,芳群路西侧二环辅路与芳城路路段1号  ,全方向,芳群路,,,,,,,,
193,194,丰台,芳群路东侧二环辅路与芳城路路段1号 ,全方向,芳群路,,,,,,,,
194,195,丰台,芳群路西侧二环辅路与芳城路路段2号  ,全方向,芳群路,,,,,,,,
195,196,丰台,芳群路东侧二环辅路与芳城路路段2号  ,全方向,芳群路,,,,,,,,
196,197,丰台,芳群路东侧二环辅路与芳城路路段3号  ,全方向,芳群路,,,,,,,,
197,198,丰台,芳群路东侧二环辅路与芳城路路段4号  ,全方向,芳群路,,,,,,,,
198,199,丰台,芳群路西侧二环辅路与芳城路路段3号  ,全方向,芳群路,,,,,,,,
199,200,丰台,芳古路与芳城路东北角北侧  ,全方向,芳城路,芳古路,,,,,,,
200,201,丰台,芳古路与群星路西南角西侧,全方向,群星路,芳古路,,,,,,,
201,202,丰台,芳古路与群星路西北角西侧,全方向,群星路,芳古路,,,,,,,
202,203,丰台,芳古路与群星路东北角东侧,全方向,群星路,芳古路,,,,,,,
203,204,丰台,芳古路与群星路东南角东侧,全方向,群星路,芳古路,,,,,,,
204,205,丰台,芳古路与群星路西北角北侧,全方向,群星路,芳古路,,,,,,,
205,206,丰台,马家堡路凉水河西南角,南向北,马家堡路,,,,,,,,
206,207,石景山,杨庄东街北口,南向南,杨庄东街,苹果园南路,,,,,,,
207,208,石景山,杨庄东街北段东侧地税局对面,全方向,杨庄东街,,,,,,,,
208,209,石景山,杨庄东街与晋元庄路交叉口北,北向北,杨庄东街,晋元庄路,,,,,,,
209,210,石景山,杨庄东街与晋元庄路交叉口南,南向南,杨庄东街,晋元庄路,,,,,,,
210,211,石景山,杨庄路东口西侧,全方向,杨庄东街,杨庄路,,,,,,,
211,212,石景山,杨庄东街与时代花园中路交叉口北,南向南,杨庄东街,时代花园中路,,,,,,,
212,213,石景山,杨庄东街与时代花园南路交叉口北,北向北,杨庄东街,时代花园南路,,,,,,,
213,214,石景山,杨庄东街与时代花园南路交叉口南,南向南,杨庄东街,时代花园南路,,,,,,,
214,215,石景山,八角西街中段东侧物美超市门口,全方向,八角西街,,,,,,,,
215,216,石景山,麻峪东街北口,全方向,麻峪东街,,,,,,,,
216,217,石景山,麻峪东街水泵站门前,全方向,麻峪东街,,,,,,,,
217,218,石景山,麻峪东街保安公司北,全方向,麻峪东街,,,,,,,,
218,219,石景山,麻峪东街保安公司南,全方向,麻峪东街,,,,,,,,
219,220,石景山,麻峪东街麻峪村东公共厕所门前,全方向,麻峪东街,,,,,,,,
220,221,石景山,麻峪东街麻峪菜市场门前,全方向,麻峪东街,,,,,,,,
221,222,石景山,人民渠路东口,西向东,京原路,人民渠路,,,,,,,
222,223,石景山,人民渠路西口,西向东,景阳东街,人民渠路,,,,,,,
223,224,石景山,复兴街与新立街交叉口,全方向,新立街,复兴街,,,,,,,
224,225,石景山,复兴街西口以北,全方向,复兴街,,, ,,,,,
225,226,房山,阎河路,西向东,阎河路,,, ,,,,,
226,227,房山,阎河路,东向西,阎河路,,,,,,,,
227,228,门头沟,葡萄嘴路口,西向东,石担路,体北路,,,,,,,
228,229,门头沟,葡萄嘴路口,东向西,石担路,体北路,,,,,,,
229,230,门头沟,葡萄嘴路口,南向北,石担路,体北路,,  ,,,,,
230,231,门头沟,葡萄嘴路口,北向南,石担路,体北路,,,,,,,
231,232,大兴,小羊坊中路西口,西向东,小羊坊中路,,,,,,,,
232,233,大兴,康碱路南口,南向北,科创一街,,,,,,,,
233,234,大兴,小羊坊东路南口,南向北,科创一街,,,,,,,,
234,235,大兴,小羊坊南街西口,西向东,小羊坊南街,,,,,,,,
235,236,大兴,兴旺路与三中巷西口交口,东向西,兴旺路,三中巷西口,,,,,,,
236,237,大兴,黄村西大街与兴丰大街交口,北向南,兴丰大街,黄村西大街,,,,,,,
237,238,大兴,黄村西大街与兴丰大街交口,南向北,兴丰大街,黄村西大街,,,,,,,
238,239,大兴,黄村西大街与兴丰大街交口,东向西,兴丰大街,黄村西大街,,,,,,,
239,240,大兴,黄村西大街与兴丰大街交口,西向东,兴丰大街,黄村西大街,,,,,,,
240,241,大兴,兴华大街与清源北路口交口,东向西,兴华大街,清源北路口,,,,,,,
241,242,大兴,兴华大街与清源北路口交口,西向东,兴华大街,清源北路口,,,,,,,
242,243,大兴,兴华大街与丽园路交口,西向东,兴华大街,丽园路口,,,,,,,
243,244,大兴,兴华大街与枣园路交口,东向西,兴华大街,枣园路口,,,,,,,
244,245,大兴,兴华大街与枣园路交口,西向东,兴华大街,枣园路口,,,,,,,
245,246,大兴,兴丰大街与北兴路交口,南向北,兴丰大街,北兴路口,,,,,,,
246,247,大兴,兴业大街与双高路交口,东向西,兴业大街,双高路口,,,,,,,
247,248,大兴,兴业大街与双高路交口,西向东,兴业大街,双高路口,,,,,,,
248,249,大兴,兴业大街与乐园路交口,东向西,兴业大街,乐园路口,,,,,,,
249,250,大兴,兴业大街与乐园路交口,西向东,兴业大街,乐园路口,,,,,,,
250,251,大兴,兴业大街与枣园路交口,东向西,兴业大街,枣园路口,,,,,,,
251,252,大兴,兴业大街与枣园路交口,西向东,兴业大街,枣园路口,,,,,,,
252,253,大兴,兴业大街与丽园路交口,东向西,兴业大街,丽园路口,,,,,,,
253,254,大兴,兴业大街与三中西巷交口,西向东,兴业大街,三中西巷,,,,,,,
254,255,大兴,庞安路与四李路交口,南向北,四李路,庞安路,,,,,,,
255,256,大兴,庞安路与四李路交口,西向东,四李路,庞安路,,,,,,,
256,257,大兴,东大路与西刘路交口,北向南,东大路,西刘路,,,,,,,
257,258,大兴,东大路与未庄南路交口,北向南,东大路,未庄南路,,,,,,,
258,259,大兴,庞安路与东宋路交口,东向西,东宋路,庞安路,,,,,,,
259,260,大兴,庞安路与杜马路交口,西向东,杜马路,庞安路,,,,,,,
260,261,大兴,芦求路与庞南路交口,北向南,芦求路,庞南路,,,,,,,
261,262,大兴,芦求路与庞南路交口,南向北,芦求路,庞南路,,,,,,,
262,263,大兴,芦求路与庞南路交口,东向西,芦求路,庞南路,,,,,,,
263,264,大兴,芦求路与庞南路交口,西向东,芦求路,庞南路,,,,,,,
264,265,大兴,芦求路与荣北路交口,北向南,芦求路,荣北路,,,,,,,
265,266,大兴,芦求路与荣北路交口,南向北,芦求路,荣北路,,,,,,,
266,267,大兴,芦求路与荣北路交口,东向西,芦求路,荣北路,,,,,,,
267,268,大兴,芦求路与荣北路交口,西向东,芦求路,荣北路,,,,,,,
268,269,大兴,芦求路与常各庄村南侧路交口,北向南,芦求路,常各庄村南侧路,,,,,,,
269,270,大兴,芦求路与常各庄村南侧路交口,南向北,芦求路,常各庄村南侧路,,,,,,,
270,271,大兴,魏永路与京威控股公司交口,北向南,京威控股公司,魏永路,,,,,,,
271,272,大兴,魏永路与京威控股公司交口,南向北,京威控股公司,魏永路,,,,,,,
272,273,大兴,兴丰大街兴政街路口,东向西,兴丰大街,兴政街,,,,,,,
273,274,大兴,兴丰大街富强路口,南向北,兴丰大街,富强路,,,,,,,
274,275,大兴,兴丰大街与清源路,北向南,兴丰大街,清源路,,,,,,,
275,276,大兴,兴旺路与三合路交口,南向北,兴旺路,三合路,,,,,,,
276,277,大兴,兴旺路与三合路交口,北向南,兴旺路,三合路,,,,,,,
277,278,大兴,新源大街念坛公园东门,北向南,新源大街,念坛公园东门,,,,,,,
278,279,大兴,新源大街念坛公园东门,南向北,新源大街,念坛公园东门,,,,,,,
279,280,大兴,青礼路与郑前路交口,北向南,青礼路,郑前路,,,,,,,
280,281,大兴,青礼路与郑前路交口,南向北,青礼路,郑前路,,,,,,,
281,282,大兴,青礼路与郑前路交口,东向西,青礼路,郑前路,,,,,,,
282,283,大兴,青礼路与安定南口,北向南,青礼路,黄徐路,,,,,,,
283,284,大兴,青礼路与安定南口,东向西,青礼路,兴安大街,,,,,,,
284,285,大兴,黄徐路与安采路交口,西向东,安采路,黄徐路,,,,,,,
285,286,大兴,黄徐路与安采路交口,南向北,安采路,黄徐路,,,,,,,
286,287,大兴,黄徐路与安采路交口,北向南,安采路,黄徐路,,,,,,,
287,288,大兴,外环路与南安路交口（安定）,南向北,南安路,外环路,,,,,,,
288,289,大兴,外环路与南安路交口（安定）,西向东,南安路,外环路,,,,,,,
289,290,大兴,外环路与南安路交口（安定）,东向西,南安路,外环路,,,,,,,
290,291,大兴,外环路与高徐路交口（安定,西向东,高徐路,外环路,,,,,,,
291,292,大兴,高徐路与郑前路交口（安定）,东向西,高徐路,郑前路,,,,,,,
292,293,大兴,孙垡路与中水,北向南,中水渠路,孙垡路,,,,,,,
293,294,大兴,孙垡路与创业大街路口,南向北,创业大街,孙垡路,,,,,,,
294,295,大兴,孙垡路与创业大街路口,东向西,创业大街,孙垡路,,,,,,,
295,296,大兴,孙垡路与朱大路交口,北向南,朱大路,孙垡路,,,,,,,
296,297,大兴,104国道与朱大路交口,南向北,朱大路,104国道,,,,,,,
297,298,大兴,104国道与朱大路交口,北向南,朱大路,104国道,,,,,,,
298,299,大兴,104国道与西孝路交口,北向南,西孝路,104国道,,,,,,,
299,300,大兴,青魏路与高野路交口,西向东,高野路,青魏路,,,,,,,
300,301,大兴,104国道与石鲍路口,北向南,石鲍路,104国道,,,,,,,
301,302,大兴,104国道与石鲍路口,西向东,石鲍路,104国道,,,,,,,
302,303,大兴,104国道与青马路交口,南向北,青马路,104国道,,,,,,,
303,304,大兴,104国道大东社区路口,西向东,104国道,,,,,,,,
304,305,大兴,104国道大东社区路口,东向西,104国道,,,,,,,,
305,306,大兴,采伟路与育英街交口,南向北,采伟路,育英街,,,,,,,
306,307,大兴,采伟路与育英街交口,北向南,采伟路,育英街,,,,,,,
307,308,大兴,东大路与青礼路,南向北,青礼路,东大路,,,,,,,
308,309,大兴,东大路与青礼路,西向东,青礼路,东大路,,,,,,,
309,310,大兴,东大路与青礼路,东向西,青礼路,东大路,,,,,,,
310,311,大兴,兴政街与市场路交口,东向西,市场路,兴政街,,,,,,,
311,312,大兴,采纬路与育英街交口,西向东,采纬路,育英街,,,,,,,
312,313,大兴,富强路与龙河路交口,西向北,龙河路,富强路,,,,,,,
313,314,大兴,青采路与育盛街交口,东向西,青采路,育盛街,,,,,,,
314,315,大兴,青采路与育盛街交口,南向北,青采路,育盛街,,,,,,,
315,316,大兴,104国道延寿营村北口,北向南,104国道,延寿营村,,,,,,,
316,317,大兴,104国道与大皮营路交口,南向北,104国道,大皮营路,,,,,,,
317,318,大兴,104国道与采伟路交口,东向西,104国道,采伟路,,,,,,,
318,319,大兴,104国道与采伟路交口,西向东,104国道,采伟路,,,,,,,
319,320,大兴,104国道与采伟路交口,北向南,104国道,采伟路,,,,,,,
320,321,大兴,采辛路与采源路交口,北向南,采辛路与,采源路,,,,,,,
321,322,大兴,采辛路与采源路交口,南向北,采辛路,采源路,,,,,,,
322,323,大兴,采辛路与采源路交口,东向西,采辛路,采源路,,,,,,,
323,324,大兴,采辛路与采源路交口,西向东,采辛路,采源路,,,,,,,
324,325,大兴,采辛路与采万路交口,西向东,采辛路,采万路,,,,,,,
