,固定式交通技术监控设备设置点位表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
36,35,机场,三号航站楼出发层（9）,全方位,三号航站楼出发层,
37,36,机场,三号航站楼出发层（10）,全方位,三号航站楼出发层,
38,37,机场,三号航站楼出发层（11）,全方位,三号航站楼出发层,
39,38,机场,二号航站楼出发层出租车专用通道（1）,全方位,二号航站楼出发层出租车专用通道,
40,39,机场,二号航站楼出发层出租车专用通道（2）,全方位,二号航站楼出发层出租车专用通道,
41,40,机场,三号航站楼出发层（12）,全方位,三号航站楼出发层,
42,41,机场,三号航站楼出发层（13）,全方位,三号航站楼出发层,
43,42,机场,三号航站楼出发层（14）,全方位,三号航站楼出发层,
44,43,昌平,立汤路东三旗路口,北向南,立汤路,
45,44,昌平,立汤路东三旗路口西辅线,北向南,立汤路,
46,45,昌平,城铁五号线公交场站北口,北向南,立汤路,
47,46,昌平,城铁五号线公交场站南口,北向南,立汤路,
48,47,昌平,立汤路九台路口,南向北,太平庄北街,立汤路
49,48,昌平,立汤路太平家园路口,东向西,太平庄中街,立汤路
50,49,昌平,立汤路东小口路口,南向北,立汤路,
51,50,昌平,立汤路东小口路口,东向西,立汤路,
52,51,昌平,立汤路平西府路口西辅线,北向南,立汤路,
53,52,昌平,立汤路平西府路口西辅线,南向北,立汤路,
54,53,昌平,立汤路北七家路口西辅线,北向南,立汤路,
55,54,昌平,G6西辅路与水南路T型路口,全方向,水南路,G6辅路
56,55,昌平,水南路水屯家园信号灯口,全方向,水南路,
57,56,昌平,水南路水屯市场北门,全方向,水南路,
58,57,昌平,水南路水屯市场加油站前,全方向,水南路,
59,58,昌平,G6定泗桥西弯道,全方向,定泗路,
60,59,昌平,G6定泗桥东匝道口,全方向,定泗路,
61,60,昌平,G6史各庄桥西辅线,全方向,G6辅路,
62,61,昌平,立水桥北路天通苑东区,全方向,立水桥北路,
63,62,昌平,立汤路城铁五号线路口,全方向,立汤路,
64,63,昌平,立汤路九台路口,全方向,太平庄北街,立汤路
65,64,昌平,立水桥北路太平中街,全方向,太平庄中街,立水桥北路
66,65,昌平,立汤路东小口路口东侧,全方向,立汤路,
67,66,昌平,城铁5号线天通苑南站,全方向,立汤路,
68,67,昌平,立汤路东沙各庄路口,全方向,立汤路,
69,68,昌平,太平庄北街七星路口,全方向,太平庄北街,七星路
70,69,昌平,定泗路七星路路口,全方向,定泗路,七星路
71,70,昌平,中东路与立水桥北路路口,全方向,立水桥北路,
72,71,昌平,南丰路与顺沙路交叉口,北向南,顺沙路,南丰路
73,72,昌平,南丰路与顺沙路交叉口,南向北,顺沙路,南丰路
74,73,昌平,南丰路与高教园南三街交叉口,北向南,"高教园南三街

",南丰路
75,74,昌平,南丰路与怀昌路交叉口,北向南,怀昌路,南丰路
76,75,昌平,沙阳路六环口,东向西,沙阳路,
77,76,昌平,沙阳路与温南路交叉口,西向东,沙阳路,温南路
78,77,昌平,沙阳路G7路口,西向东,沙阳路,
79,78,昌平,"龙腾苑二区路口
",南向北,回龙观西大街,育知东路
80,79,昌平,"龙腾苑二区路口
",西向东,回龙观西大街,育知东路
81,80,昌平,"龙腾苑一区路口
",北向南,回龙观西大街,文华西路
82,81,昌平,"龙跃苑二区路口
",东向西,回龙观西大街,文华路
83,82,昌平,"龙跃苑二区路口
",西向东,回龙观西大街,文华路
84,83,昌平,"龙跃苑一区路口
",北向南,回龙观西大街,文华东路
85,84,昌平,狮子营桥路口,东向西,南百路,
86,85,昌平,狮子营桥路口,西向东,南百路,
87,86,昌平,G6辅路与工商南街交叉口,南向北,工商南街,G6辅路
88,87,昌平,北清路与朱辛庄西路交叉口,西向东,北清路（原牛北路）,朱辛庄西路
89,88,昌平,北清路与朱辛庄西路交叉口,东向西,北清路（原牛北路）,朱辛庄西路
90,89,昌平,四号路路口,东向西,顺沙路,小汤山四号路
91,90,昌平,东沙各庄路口,北向南,立汤路,
92,91,昌平,沙阳路口,北向南,沙阳路,G6辅路
