,交通技术监控设备设置点位表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
192,192,延庆,新城街（供电局路口至川北小区东门段）,南北双向,新城街,,,自建卡口
193,193,延庆,广兴街（恒安北街西口中银西门段）,南北双向,广兴街,,,自建卡口
194,194,延庆,迎宾环岛,全方向,妫水南街,百泉街,,自建电视
195,195,延庆,妫水北街（东关环岛至新风路口段）,全方向,妫水北街,,,自建电视
196,196,延庆,妫水北街（出租驾校路口至新风路口段）,全方向,妫水北街,,,自建电视
197,197,延庆,北顺城街（出租驾校路口至县医院南口段）,全方向,北顺城街,,,自建电视
198,198,延庆,县医院南口,全方向,延庆镇东顺城街,延庆镇北顺城街,,自建电视
199,199,延庆,东顺城街（人民商场路口至杨家胡同段）,全方向,延庆镇东顺城街,,,自建电视
200,200,延庆,中踏广场西侧,全方向,东外大街,,,自建电视
201,201,延庆,中踏广场东侧,全方向,东外大街,,,自建电视
202,202,延庆,东外大街（川北小区南门至华远宾馆路口段）,全方向,东外大街,,,自建电视
203,203,延庆,师范路东侧（小营村西口至九州路口段）,全方向,师范路,,,自建电视
204,204,延庆,示范路西侧（小营村西口至九州路口段）,全方向,师范路,,,自建电视
205,205,延庆,香苑街（自来水公司路口至劳动局东口段）,全方向,香苑街,,,自建电视
206,206,延庆,延庆四中南侧,全方向,香苑街,,,自建电视
207,207,延庆,延庆四中北侧,全方向,香苑街,,,自建电视
208,208,延庆,高塔街（人大西口至绿韵广场口段）,全方向,高塔街,,,自建电视
209,209,延庆,县加油站路口,全方向,龙庆路,,,自建电视
210,210,延庆,日上路口,全方向,龙庆路,滨河北路,,自建电视
211,211,延庆,龙庆路西侧（京张路口至建材城西口段）,全方向,龙庆路,,,自建电视
212,212,延庆,龙庆路东侧（京张路口至建材城西口段）,全方向,龙庆路,,,自建电视
213,213,延庆,佑利街（起点至终点）,全方向,佑利街,,,自建电视
214,214,延庆,新城街（中医院南口至中医院北口段）,全方向,新城街,,,自建电视
215,215,延庆,菜园中街西口,全方向,汇川街,菜园中街,,自建电视
216,216,延庆,龙顺路（起点至终点）,全方向,龙顺路,,,自建电视
217,217,延庆,一小西口,全方向,玉皇阁大街,延庆镇北顺城街,,自建电视
218,218,延庆,劳动局路口,全方向,香苑街,高塔街,,自建电视
219,219,延庆,二小路口,全方向,广兴街,高塔街,,自建电视
220,220,延庆,一中路口,全方向,妫水北街,高塔街,,自建电视
221,221,延庆,旧小路路口,全方向,延龙路,旧小路,,自建电视
