,交通技术监控设备设置点位表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
69,69,昌平,沙河清真寺西门东辅路西侧,全方向,G6东辅路,
70,70,昌平,沙河电信局门口南侧东辅路东侧,全方向,G6东辅路,
71,71,昌平,沙河二量出口东辅路东侧,全方向,G6东辅路,
72,72,昌平,沙河沙阳路口东辅路东侧,全方向,G6东辅路,沙阳路
73,73,昌平,沙河汽车站南站东辅路东侧,全方向,G6东辅路,
74,74,昌平,沙河花景胡同路口东辅路东侧,全方向,G6东辅路,
75,75,昌平,沙河昌平路162号门口东辅路东侧,全方向,G6东辅路,
76,76,昌平,沙河中石化加油站南入口东辅路东侧,全方向,G6东辅路,
77,77,昌平,沙河朝宗桥商场门口东辅路东侧,全方向,G6东辅路,
78,78,昌平,沙河汽车站北站东辅路西侧,全方向,G6东辅路,
79,79,昌平,沙河展思门路口东北角,全方向,G6东辅路,
80,80,昌平,沙河北大桥小铁桥北侧辅路东侧,全方向,G6东辅路,
81,81,昌平,沙河骨伤医院过街天桥南东辅路东侧,全方向,G6东辅路,
82,82,昌平,沙河满进公路桥北侧东辅路西侧,全方向,G6东辅路,
83,83,昌平,沙河小寨过街天桥东辅路西侧,全方向,G6东辅路,
84,84,昌平,沙河西沙屯公路桥南东辅路西侧,全方向,G6东辅路,
85,85,昌平,沙河西沙屯信用社路口东辅路西侧,全方向,G6东辅路,
86,86,昌平,昌平永安公园西北角丁字路口西,全方向,G6东辅路,
87,87,昌平,昌平西关下井天桥东辅路东侧,全方向,G6东辅路,
88,88,昌平,昌平西关环岛政府街出口,全方向,昌平西关环岛,
89,89,昌平,昌平西关环岛昌平出口,全方向,昌平西关环岛,
90,90,昌平,昌平西关环岛十三陵出口,全方向,昌平西关环岛,
91,91,昌平,昌平西关环岛南口出口,全方向,昌平西关环岛,
92,92,昌平,昌平北庄村天桥东侧路北,全方向,G6辅路,
93,93,昌平,昌平北方交大路口辅路北侧,全方向,G6辅路,
94,94,昌平,昌平邓庄村口,全方向,G6辅路,
95,95,昌平,昌平旧县大桥西北路口,全方向,G6辅路,
96,96,昌平,昌平雪山路33号高压电杆辅路南侧,全方向,G6辅路,
97,97,昌平,昌平三角地苏宁电器门口,全方向,政府街西路,
98,98,昌平,昌平政府街邮局路口,全方向,西环路,政府街西路
99,99,昌平,昌平三角地西侧,全方向,政府街西路,
100,100,昌平,昌平三角地南侧,全方向,城角西路,
101,101,昌平,昌平体委西侧球机,全方向,城角西路,
102,102,昌平,昌平体委西南路口,全方向,城角西路,永安公园路
103,103,昌平,昌平永安公园东北角,全方向,西环路,永安公园路
104,104,昌平,昌平西环南路345车站,全方向,西环路,商业街
105,105,昌平,昌平体育局东门对面,全方向,西环路,
106,106,昌平,昌平区政府门口南侧,全方向,政府街,
107,107,昌平,昌平政府街美廉美超市门口,全方向,政府街,
108,108,昌平,昌平政府街新世纪商场门口,全方向,鼓楼南街,
109,109,昌平,昌平南大街工商银行门前,全方向,鼓楼南街,
110,110,昌平,昌平政府街物美超市十字路口西南侧,全方向,鼓楼南街,鼓楼西街
111,111,昌平,昌平西街工商银行储蓄所门前西南侧,全方向,鼓楼西街,
112,112,昌平,昌平区医院门口西侧公交车站,全方向,鼓楼北街,
113,113,昌平,昌平新利来手机店十字路口西北侧,全方向,西环路,西关路
114,114,昌平,昌平公安局门口西侧路高清,全方向,西环路,
115,115,昌平,昌平商业街东口丁字路口,全方向,鼓楼南街,商业街
116,116,昌平,松园水库大坝北侧三叉路口,全方向,水库北路,
117,117,昌平,松园水库泄洪道停车场西侧,全方向,右堤路,
118,118,昌平,松园水库路朝凤庵路口,全方向,水库路,朝凤北路
119,119,昌平,松园府学路阳光商场门前,全方向,府学路,
120,120,昌平,松园府学路阳光商场东侧十字路口,全方向,燕平路,府学路
121,121,昌平,松园府学路阳光商场东侧东关二条南,全方向,东关二条,府学路
122,122,昌平,松园府学路美廉美超市正门,全方向,东关二条,府学路
123,123,昌平,松园昌平电信局门口,全方向,政府街,
124,124,昌平,松园鑫隆市场西口,全方向,鼓楼南街,
125,125,昌平,松园鼓楼东大街西口,全方向,西环路,鼓楼西街
126,126,昌平,松园北京手表厂南门十字路口,全方向,燕平路,东关路
127,127,昌平,松园亢山北路与府学路十字路口,全方向,亢山路,府学路
128,128,昌平,松园世纪联华超市东侧十安路口北侧,全方向,燕平路,南环东路
129,129,昌平,松园南邵大桥西侧十字路口东南角,全方向,龙水路,南环路
130,130,昌平,松园水关环岛东南侧,全方向,创新路,南环路
131,131,昌平,松园昌平北站十字路口东南侧,全方向,鼓楼北街,北环路
132,132,昌平,南口雪山高速涵洞辅路南侧,全方向,G6辅路,
133,133,昌平,南口雪山北小桥西二百米辅路南侧,全方向,G6辅路,
134,134,昌平,南口沃德兰东门辅路南侧,全方向,G6辅路,
135,135,昌平,南口陈庄加油站辅路南侧,全方向,G6辅路,
136,136,昌平,南口陈庄高速桥辅路南侧,全方向,南辛路,G6辅路
137,137,昌平,南口陈庄桥西二百米辅路南侧,全方向,G6辅路,
138,138,昌平,南口龙虎台村路口辅路南侧,全方向,G6辅路,
139,139,昌平,南口龙虎台村果脯厂西侧路口 ,全方向,G6辅路,
140,140,昌平,南口东大桥西侧辅路北侧,全方向,G6辅路,
141,141,昌平,南口东环岛东北角,全方向,G6辅路,
142,142,昌平,南口铁道北铁路桥,全方向,G6辅路,
143,143,昌平,南口铁道铁路桥西二百米,全方向,G6辅路,
144,144,昌平,南口道北面粉厂门口北二百米,全方向,G6辅路,
145,145,昌平,南口道北采石厂宿舍路口,全方向,G6辅路,
146,146,昌平,南口道北南口村路口,全方向,G6辅路,
147,147,昌平,南口村村南入口,全方向,G6辅路,
148,148,昌平,南口村中心小学北一百米,全方向,G6辅路,
149,149,昌平,南口村北出口,全方向,G6辅路,
150,150,昌平,南口村化园子路口,全方向,G6辅路,
151,151,昌平,南口村化园子路口北二百米,全方向,G6辅路,
152,152,昌平,南口村化园子路口北六百米,全方向,G6辅路,
153,153,昌平,南口臭泥坑村南入口北二百米,全方向,G6辅路,
154,154,昌平,南口臭泥坑村南入口北五百米,全方向,G6辅路,
155,155,昌平,南口臭泥坑村移动天线塔,全方向,G6辅路,
156,156,昌平,南口居庸关采石厂路口,全方向,G6辅路,
157,157,昌平,南口铁道部绿化基地门口,全方向,G6辅路,
158,158,昌平,南口铁道部绿化基地门口村南路口,全方向,G6辅路,
159,159,昌平,南口铁道部绿化基地门口北600米,全方向,G6辅路,
160,160,昌平,南口东园子高速涵洞路口,全方向,G6辅路,
161,161,昌平,南口居庸关高速管理处北100米,全方向,G6辅路,
162,162,昌平,南口居庸关高速管理处北300米,全方向,G6辅路,
163,163,昌平,南口居庸关村北20路公交车站南,全方向,G6辅路,
164,164,昌平,南口居庸关高速管理处北500米,全方向,G6辅路,
165,165,昌平,南口南站村兴顺修配厂,全方向,G6辅路,
166,166,昌平,南口居庸关水库路口,全方向,G6辅路,
167,167,昌平,南口居庸关大队门前,全方向,G6辅路,
168,168,昌平,南口玻璃厂北40米路西,全方向,温南路,
169,169,昌平,南口南辛路北口,全方向,温南路,亭阳路
170,170,昌平,南口中学门口,全方向,温南路,
171,171,昌平,天通苑四区东侧大门,全方向,立水桥东一路,
172,172,昌平,天通北苑一区7号楼西南角,全方向,太平庄中二街,
173,173,昌平,天通北苑二区34号楼,全方向,立水桥东三路,太平庄中二街
174,174,昌平,天通北苑二区38号楼,全方向,立水桥东三路,
175,175,昌平,天通北苑一区广发银行门前路,全方向,太平庄中二街,
176,176,昌平,天通苑七星路南口,全方向,七星路,太平庄北街
177,177,昌平,天通苑立汤路北方明珠过街天桥北口,全方向,立汤璐,
178,178,昌平,天通苑立汤路龙德广场西北角过街天桥,全方向,立汤璐,
179,179,昌平,天通苑立汤路西单商场过街天桥北口,全方向,立汤璐,
180,180,昌平,天通苑立汤路广东发展银行南侧路口,全方向,立汤璐,太平庄中二街
181,181,昌平,东小口五号线终点站大门东侧,全方向,立汤璐,
182,182,昌平,东小口天通西苑三区东侧十字路口,全方向,立汤璐,太平庄北街
183,183,昌平,东小口五号线天通苑站北一百米西侧,全方向,立汤璐,
184,184,昌平,东小口天通尾货路口西南侧,全方向,立汤璐,太平庄中二街
185,185,昌平,东小口天通西苑二区东大门北侧,全方向,立汤璐,太平庄中一街
186,186,昌平,东小口太平兴园菜市场南门东南侧,全方向,立汤璐,太平庄中街
187,187,昌平,东小口中宇特约维修服务中心南路口,全方向,立汤璐,北滩村北一街
188,188,昌平,东小口北方明珠十字路口西北侧,全方向,立汤璐,中东路
189,189,昌平,东小口祥和建材城东门,全方向,立汤璐,
190,190,昌平,东小口政府东侧十字路口东北侧,全方向,立水桥西路,中东路
191,191,昌平,东小口中滩村武警体工队路口南侧,全方向,中东路,
192,192,昌平,东小口森林大第小区北侧丁字路口,全方向,建材城东路,
193,193,昌平,东小口店上村村口南侧十字路口,全方向,太平庄中街,
194,194,昌平,东小口兰各庄村南口,全方向,太平庄中街,
195,195,昌平,东小口兰太路与霍营路交界丁字路口,全方向,太平庄中街,
196,196,昌平,东小口兰太路与中滩路交界处,全方向,太平庄中街,
197,197,昌平,东小口天通苑西一区南门十字路口,全方向,立水桥西路,中滩村北一街
198,198,昌平,东小口中滩村村中中心街十字路口,全方向,中东路,
199,199,昌平,机场路南侧 机场南门三叉路口,全方向,汤尚路,
200,200,昌平,百沙路北侧 百善村入口顺鑫五金商店对面,全方向,百沙路,
201,201,昌平,顺沙路临溪别墅东十字路口东北角,全方向,顺沙路,
202,202,昌平,中央财经大学正门,全方向,顺沙路,
203,203,昌平,八达岭高速东辅路西侧 小汤山出口,全方向,G6东辅路,
204,204,昌平,百沙路南侧路庄桥东250米（第五个路灯杆）,全方向,百沙路,
205,205,昌平,百沙路南侧路庄村入口,全方向,百沙路,
206,206,昌平,百沙路南侧金隅水泥场入口,全方向,百沙路,
207,207,昌平,百沙路南侧金隅水泥场东350米,全方向,百沙路,
208,208,昌平,百沙路南侧草原明珠大酒店门口,全方向,百沙路,
209,209,昌平,百沙路南侧北京新飞达电子科技发展中心对面,全方向,百沙路,
210,210,昌平,百沙路南侧与南丰路交叉口西南角,全方向,南丰路,百沙路
211,211,昌平,百沙路南侧沙河镇政府前,全方向,百沙路,
212,212,昌平,百沙路南侧维展公司门口,全方向,百沙路,
213,213,昌平,百沙路南侧沙河供电所对面,全方向,百沙路,
214,214,昌平,百沙路南侧机场百善三岔口,全方向,百沙路,
215,215,昌平,百沙路北侧松兰堡村口对面,全方向,百沙路,
216,216,昌平,百沙路北侧丰善西路入口对面,全方向,百沙路,
217,217,昌平,八达岭高速西辅路西侧 小汤山入口,全方向,G6西辅路,
218,218,昌平,马池口金隅水泥厂南门对面,全方向,昌流路,
219,219,昌平,娄自庄村村北红绿灯,全方向,满白路,顺沙路
220,220,昌平,横桥家园门口,全方向,双横路,顺沙路
221,221,昌平,马池口桥梁厂十号宿舍楼对面,全方向,昌流路,
222,222,昌平,水南路粮库西侧十字路口,全方向,宏奤路,水南路
223,223,昌平,昌流路与亭阳路交叉路口,全方向,亭阳路,昌流路
224,224,昌平,百葛路与亭阳路交叉丁字路口东200米,全方向,史四路,顺沙路
225,225,昌平,百葛路吉利大学丁字路口,全方向,顺沙路,
226,226,昌平,百葛路去往神牛环岛丁字路口,全方向,神牛路,顺沙路
227,227,昌平,百葛路去往六环路口,全方向,顺沙路,
228,228,昌平,政府街路北侧新新公寓公交车站,全方向,政府街,
229,229,昌平,中上口路铁道桥南路东,全方向,中山口路,
230,230,昌平,华北电力大学,全方向,G6东辅路,
231,231,昌平,北七家镇鲁旺钢材西口路南,全方向,定泗路,
232,232,昌平,七家镇七星路第三个人行横道,全方向,七星路,
233,233,昌平,HD一中路口东南角,全方向,东环路,东环路
234,234,昌平,HD天通西苑一区,全方向,立水桥西路,
235,235,昌平,HD艾买提餐厅,全方向,立水桥北路,太平庄中街
236,236,昌平,HD交通银行天通苑支行,全方向,立水桥北路,
237,237,大兴,兴亦路与新居里路交叉口,南向北,新居里路,兴亦路
238,238,大兴,兴亦路与南中轴路交叉口,南向北,南中轴路,兴亦路
239,239,大兴,兴亦路与南中轴路交叉口,南向北,南中轴路,兴亦路
240,240,大兴,兴亦路与西三路交叉口,南向北,西三路,兴亦路
241,241,大兴,兴亦路与西三路交叉口,北向南,西三路,兴亦路
242,242,大兴,兴亦路与104国道交叉口,南向北,104国道,兴亦路
243,243,大兴,兴亦路与104国道交叉口,北向南,104国道,兴亦路
244,244,大兴,黄亦路与南中轴路交叉口,东向西,南中轴路,黄亦路
245,245,大兴,黄亦路与南中轴路交叉口,西向东,南中轴路,黄亦路
246,246,大兴,黄亦路与团河路交叉口,东向西,团河路,黄亦路
247,247,大兴,黄亦路与团河路交叉口,南向北,团河路,黄亦路
248,248,大兴,黄亦路与团河路交叉口,西向东,团河路,黄亦路
249,249,大兴,黄亦路与团河路交叉口,北向南,团河路,黄亦路
250,250,大兴,黄亦路与东环路交叉口,东向西,东环路,黄亦路
251,251,大兴,黄亦路与东环路交叉口,西向东,东环路,黄亦路
252,252,大兴,黄亦路与广阳大街交叉口,东向西,广阳大街,黄亦路
253,253,大兴,黄亦路与广阳大街交叉口,西向东,广阳大街,黄亦路
254,254,大兴,旧忠路与旧宫东西大街交叉口,东向西,旧忠路,旧宫东西大街
255,255,大兴,旧忠路与旧宫东西大街交叉口,南向北,旧忠路,旧宫东西大街
256,256,大兴,旧忠路与旧宫东西大街交叉口,西向东,旧忠路,旧宫东西大街
257,257,大兴,旧忠路与旧宫东西大街交叉口,北向南,旧忠路,旧宫东西大街
258,258,大兴,旧忠路与旧头路交叉口,东向西,旧忠路,旧头路
259,259,大兴,旧忠路与旧头路交叉口,南向北,旧忠路,旧头路
260,260,大兴,旧忠路与旧头路交叉口,北向南,旧忠路,旧头路
261,261,大兴,小红门路与旧宫东西大街交叉口,东向西,小红门路,旧宫东西大街
262,262,大兴,小红门路与旧宫东西大街交叉口,南向北,小红门路,旧宫东西大街
263,263,大兴,小红门路与旧宫东西大街交叉口,西向东,小红门路,旧宫东西大街
264,264,大兴,小红门路与旧宫东西大街交叉口,北向南,小红门路,旧宫东西大街
265,265,大兴,小红门路与科技路交叉口,南向北,小红门路,科技路
266,266,大兴,小红门路与科技路交叉口,北向南,小红门路,科技路
267,267,大兴,小红门路与宣颐路交叉口,南向北,小红门路,宣颐路
268,268,大兴,小红门路与宣颐路交叉口,北向南,小红门路,宣颐路
269,269,大兴,兴政街与兴政南巷,西向东,兴政南巷,兴政街
270,270,大兴,104国道与西毓顺路交叉口,南向北,104国道,西毓顺路
271,271,大兴,104国道与德贤路交叉口,南向北,104国道,德贤路
272,272,大兴,104国道与德贤路交叉口,北向南,104国道,德贤路
273,273,大兴,庑殿路与旧宫东西大街交叉口,西向东,庑殿路,旧宫东西大街
274,274,大兴,庑殿路与旧宫东西大街交叉口,东向西,庑殿路,旧宫东西大街
275,275,大兴,庑殿路与旧宫东西大街交叉口,南向北,庑殿路,旧宫东西大街
276,276,大兴,庑殿路与旧宫东西大街交叉口,北向南,庑殿路,旧宫东西大街
277,277,大兴,庞魏路与东大路交叉口,西向东,东大路,庞魏路
278,278,大兴,庞魏路与东大路交叉口,北向南,东大路,庞魏路
279,279,大兴,北兴路与兴和街交叉口,东向西,北兴路,兴和街
280,280,大兴,北兴路与兴和街交叉口,西向东,北兴路,兴和街
281,281,大兴,三台山路与旧宫东西大街交叉口,西向东,三台山路,旧宫东西大街
282,282,大兴,三台山路与旧宫东西大街交叉口,东向西,三台山路,旧宫东西大街
283,283,大兴,三台山路与旧宫东西大街交叉口,南向北,三台山路,旧宫东西大街
284,284,大兴,三台山路与旧宫东西大街交叉口,北向南,三台山路,旧宫东西大街
285,285,大兴,青采路与西孝路交口,南向北,西孝路,青采路
286,286,大兴,南中轴路与中鼎路交口,东向西,南中轴路,中鼎路
287,287,大兴,南中轴路与中鼎路交口,西向东,南中轴路,中鼎路
288,288,大兴,南中轴路与団忠路交口,东向西,南中轴路,団忠路
289,289,大兴,南中轴路与団忠路交口,西向东,南中轴路,団忠路
290,290,大兴,南中轴路志远西桥南路口,南向北,南中轴路,
291,291,大兴,南中轴路志远西桥南路口,北向南,南中轴路,
292,292,大兴,魏永路与中水渠路交口,东向西,中水渠路,魏永路
293,293,大兴,魏永路与中水渠路交口,南向北,中水渠路,魏永路
294,294,大兴,魏永路西刘路交口,东向西,西刘路,魏永路
295,295,大兴,魏永路西刘路交口,南向北,西刘路,魏永路
296,296,大兴,魏永路与王査路交口,西向东,王査路,魏永路
297,297,大兴,魏永路与王査路交口,北向南,王査路,魏永路
298,298,大兴,魏永路与高野路交口,东向西,高野路,魏永路
299,299,大兴,魏永路与高野路交口,南向北,高野路,魏永路
300,300,大兴,魏永路与杨垡路交口,东向西,杨垡路,魏永路
301,301,大兴,魏永路与杨垡路交口,南向北,杨垡路,魏永路
302,302,大兴,南中轴路与团忠路交口,南向北,南中轴路,团忠路
303,303,大兴,南中轴路与团忠路交口,北向南,南中轴路,团忠路
304,304,西城,德胜门外大街马甸桥南,北向南,德胜门外大街,
